Date,Close,Open,High,Low,Volume,Change
2014-10-15,181.75,182.46,183.79,178.75,6900000.0,-0.011200000000000002
2014-10-16,179.84,179.8,181.48,178.69,5580000.0,-0.0105
2014-10-17,182.05,181.24,182.84,180.22,4350000.0,0.0123
2014-10-20,169.1,166.84,170.33,166.69,23420000.0,-0.0711
2014-10-21,163.23,166.4,166.68,161.68,20950000.0,-0.0347
2014-10-22,161.79,162.41,165.41,161.1,11090000.0,-0.0088
2014-10-23,162.18,162.12,162.83,161.54,7600000.0,0.0024
2014-10-24,162.08,162.08,162.44,161.45,6650000.0,-0.0006
2014-10-27,161.87,162.0,162.91,161.81,4990000.0,-0.0013
2014-10-28,163.6,162.0,163.6,161.8,7900000.0,0.010700000000000001
2014-10-29,163.46,164.33,164.62,162.76,4740000.0,-0.0009
2014-10-30,164.35,163.5,164.62,163.02,3900000.0,0.0054
2014-10-31,164.4,165.48,165.59,163.62,5820000.0,0.0003
2014-11-03,164.36,164.25,164.54,163.38,4690000.0,-0.0002
2014-11-04,162.65,164.34,164.36,162.24,4250000.0,-0.0104
2014-11-05,161.82,163.13,163.54,161.56,4099999.9999999995,-0.0051
2014-11-06,161.46,161.28,161.53,160.05,4070000.0000000005,-0.0022
2014-11-07,162.07,161.42,162.21,160.85,3490000.0,0.0038
2014-11-10,163.49,161.9,164.47,161.61,4960000.0,0.0088
2014-11-11,163.3,163.7,163.9,162.6,3540000.0,-0.0012
2014-11-12,161.92,162.28,163.0,161.76,3380000.0,-0.0085
2014-11-13,162.79,162.0,162.8,161.8,3240000.0,0.0054
2014-11-14,164.16,162.1,164.49,161.69,4980000.0,0.0084
2014-11-17,164.16,164.16,164.97,163.72,4800000.0,0.0
2014-11-18,161.89,164.73,164.75,161.89,5410000.0,-0.0138
2014-11-19,161.43,162.05,162.1,160.96,3800000.0,-0.0028000000000000004
2014-11-20,160.64,160.95,161.5,159.8,4179999.9999999995,-0.0049
2014-11-21,160.92,161.83,161.95,160.75,4080000.0,0.0017000000000000001
2014-11-24,162.15,161.54,163.86,161.06,6620000.0,0.0076
2014-11-25,161.76,162.65,163.5,161.56,4059999.9999999995,-0.0024
2014-11-26,161.95,161.93,162.1,161.01,3970000.0,0.0012
2014-11-28,162.17,162.75,163.37,161.44,2410000.0,0.0014000000000000002
2014-12-01,161.54,161.64,163.31,161.35,4170000.0,-0.0039000000000000003
2014-12-02,162.67,162.47,162.73,161.64,3470000.0,0.006999999999999999
2014-12-03,164.52,162.47,164.52,162.0,6430000.0,0.011399999999999999
2014-12-04,164.05,164.01,164.5,163.01,3860000.0,-0.0029
2014-12-05,163.27,163.61,164.5,162.91,3010000.0,-0.0048
2014-12-08,161.86,163.29,163.29,161.54,2850000.0,-0.0086
2014-12-09,162.99,160.84,163.02,160.8,3870000.0,0.006999999999999999
2014-12-10,160.51,163.01,163.33,160.03,4080000.0,-0.0152
2014-12-11,161.07,160.82,162.93,160.52,3990000.0,0.0034999999999999996
2014-12-12,155.38,160.25,160.5,155.33,8610000.0,-0.0353
2014-12-15,153.06,155.93,156.74,152.84,6500000.0,-0.0149
2014-12-16,151.41,152.03,154.89,150.5,6780000.0,-0.0108
2014-12-17,151.93,151.52,153.31,151.11,5140000.0,0.0034000000000000002
2014-12-18,157.68,153.58,157.68,153.3,7300000.0,0.0378
2014-12-19,158.51,157.49,160.41,157.49,8860000.0,0.0053
2014-12-22,161.44,158.33,161.91,158.33,4680000.0,0.018500000000000003
2014-12-23,162.24,162.23,162.9,161.61,4040000.0,0.005
2014-12-24,161.82,162.88,162.99,161.61,1870000.0,-0.0026
